   R( 37,  3) =       9.2401
   R( 37,  4) =       9.6174
   R( 37,  5) =       8.5744
   R( 37,  6) =       9.6174
   R( 37,  7) =      11.1052
   R( 37,  8) =      10.7801
   R( 37,  9) =      11.6268
   R( 37, 10) =      12.2235
   R( 37, 11) =      11.1052
   R( 37, 12) =      11.6268
   R( 37, 13) =      13.6877
   R( 37, 14) =      13.1579
   R( 37, 15) =      14.1143
   R( 37, 16) =      13.1578
   R( 37, 17) =      13.8601
   R( 37, 18) =      16.2250
   R( 37, 19) =      15.6293
   R( 37, 20) =      15.4001
   R( 37, 21) =       8.5744
   R( 37, 22) =       7.0573
   R( 37, 23) =       6.7128
   R( 37, 24) =       5.3348
   R( 37, 25) =       4.6200
   R( 37, 26) =       6.1601
   R( 37, 27) =       4.0745
   R( 37, 28) =       4.6200
   R( 37, 29) =       5.5527
   R( 37, 30) =       5.3349
   R( 37, 31) =       1.5400
   R( 37, 32) =       2.6674
   R( 37, 33) =       3.0801
   R( 37, 34) =       2.6673
   R( 37, 35) =       3.0799
   R( 37, 36) =       2.6672
   R( 38,  0) =      12.2234
   R( 38,  1) =      10.7801
   R( 38,  2) =       9.6173
   R( 38,  3) =      10.0985
   R( 38,  4) =      10.0985
   R( 38,  5) =       9.6174
   R( 38,  6) =      10.7801
   R( 38,  7) =      12.2235
   R( 38,  8) =      11.6268
   R( 38,  9) =      12.6055
   R( 38, 10) =      12.6055
   R( 38, 11) =      11.6268
   R( 38, 12) =      12.3201
   R( 38, 13) =      14.1142
   R( 38, 14) =      14.1145
   R( 38, 15) =      14.6906
   R( 38, 16) =      13.8600
   R( 38, 17) =      14.6907
   R( 38, 18) =      16.9401
   R( 38, 19) =      16.2249
   R( 38, 20) =      16.2250
   R( 38, 21) =       9.2401
   R( 38, 22) =       7.7001
   R( 38, 23) =       7.0572
   R( 38, 24) =       5.5526
   R( 38, 25) =       5.5526
   R( 38, 26) =       7.0572
   R( 38, 27) =       4.6200
   R( 38, 28) =       4.0744
   R( 38, 29) =       4.6200
